epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,458.41,0.99939,0.77406,0.98953,0.63948,0.000302395,0.000302395,0.000302395
2,792.042,0.71311,0.77456,0.99651,0.63943,0.000593408,0.000593408,0.000593408
3,1118.96,0.67988,0.78454,0.99701,0.59726,0.000872423,0.000872423,0.000872423
4,1441.81,0.66044,0.80748,0.99701,0.5271,0.000855005,0.000855005,0.000855005
5,1767.39,0.61245,0.81496,0.9985,0.50129,0.000837007,0.000837007,0.000837007
6,2088.74,0.58765,0.82444,0.99751,0.49185,0.000819009,0.000819009,0.000819009
7,2480.3,0.56221,0.82594,0.9985,0.49298,0.000801011,0.000801011,0.000801011
8,2804.14,0.54084,0.82195,1,0.49706,0.000783013,0.000783013,0.000783013
9,3122.06,0.51558,0.83441,0.9995,0.47178,0.000765014,0.000765014,0.000765014
10,3437.87,0.50088,0.83392,0.998,0.46339,0.000747016,0.000747016,0.000747016
11,3754.4,0.48284,0.83791,0.9985,0.45446,0.000729018,0.000729018,0.000729018
12,4069.94,0.47078,0.8414,0.9995,0.44895,0.00071102,0.00071102,0.00071102
13,4388.55,0.44535,0.83691,0.9995,0.4525,0.000693022,0.000693022,0.000693022
14,4707.76,0.4394,0.84239,0.9985,0.44164,0.000675023,0.000675023,0.000675023
15,5027.57,0.41917,0.83691,0.9995,0.44133,0.000657025,0.000657025,0.000657025
16,5344.14,0.40771,0.84389,1,0.43944,0.000639027,0.000639027,0.000639027
17,5662.42,0.4177,0.84439,1,0.42467,0.000621029,0.000621029,0.000621029
18,5979.1,0.3977,0.84239,1,0.42732,0.000603031,0.000603031,0.000603031
19,6299.86,0.38162,0.85037,1,0.43018,0.000585032,0.000585032,0.000585032
20,6618.91,0.37004,0.84838,0.9995,0.42953,0.000567034,0.000567034,0.000567034
21,6936.47,0.37408,0.84638,0.9985,0.40764,0.000549036,0.000549036,0.000549036
22,7258.13,0.34783,0.85686,0.999,0.41251,0.000531038,0.000531038,0.000531038
23,7583.15,0.33778,0.86234,0.999,0.41509,0.00051304,0.00051304,0.00051304
24,7904.61,0.32481,0.85736,0.9985,0.41868,0.000495041,0.000495041,0.000495041
25,8226.8,0.32173,0.85985,0.9985,0.42408,0.000477043,0.000477043,0.000477043
26,8550.08,0.31844,0.85786,0.9995,0.40573,0.000459045,0.000459045,0.000459045
27,8874,0.30382,0.85786,0.999,0.43654,0.000441047,0.000441047,0.000441047
28,9199.42,0.29456,0.85636,0.999,0.4415,0.000423049,0.000423049,0.000423049
29,9525.68,0.28431,0.86185,0.999,0.43217,0.00040505,0.00040505,0.00040505
30,9841.9,0.27888,0.85536,0.9985,0.42786,0.000387052,0.000387052,0.000387052
31,10162.4,0.2734,0.86284,1,0.42712,0.000369054,0.000369054,0.000369054
32,10482.8,0.25638,0.86434,0.999,0.4314,0.000351056,0.000351056,0.000351056
33,10805.9,0.26291,0.86733,0.999,0.41717,0.000333058,0.000333058,0.000333058
34,11123.7,0.25056,0.86833,0.999,0.41733,0.000315059,0.000315059,0.000315059
35,11447.8,0.24813,0.86683,0.9995,0.40096,0.000297061,0.000297061,0.000297061
36,11768.6,0.24151,0.86584,1,0.40555,0.000279063,0.000279063,0.000279063
37,12095.3,0.23244,0.86733,0.999,0.42111,0.000261065,0.000261065,0.000261065
38,12420.9,0.22708,0.86783,0.9995,0.41379,0.000243067,0.000243067,0.000243067
39,12743.3,0.22118,0.86833,0.9995,0.42073,0.000225068,0.000225068,0.000225068
40,13064.8,0.2174,0.87531,0.9995,0.42477,0.00020707,0.00020707,0.00020707
41,13389.6,0.20586,0.87182,0.9995,0.42003,0.000189072,0.000189072,0.000189072
42,13711.6,0.20382,0.87481,0.9995,0.42376,0.000171074,0.000171074,0.000171074
43,14031.2,0.19165,0.87631,0.9995,0.41951,0.000153076,0.000153076,0.000153076
44,14354.6,0.19601,0.87132,0.9995,0.424,0.000135077,0.000135077,0.000135077
45,14676.8,0.19175,0.87631,0.999,0.44393,0.000117079,0.000117079,0.000117079
46,14994.6,0.18923,0.87581,0.9995,0.43299,9.9081e-05,9.9081e-05,9.9081e-05
47,15316.1,0.18961,0.8798,0.9995,0.43279,8.10828e-05,8.10828e-05,8.10828e-05
48,15631.5,0.17894,0.8798,0.9995,0.42744,6.30846e-05,6.30846e-05,6.30846e-05
49,15948.9,0.18721,0.87781,0.9995,0.4366,4.50864e-05,4.50864e-05,4.50864e-05
50,16267.7,0.18016,0.87681,0.9995,0.43766,2.70882e-05,2.70882e-05,2.70882e-05
